# mmed gq
# Private communication with Cristina Mantilla Suarez
50 0.0813568
55 0.083203
60 0.0810896
65 0.0783677
70 0.0813568
75 0.0943269
80 0.129603
85 0.120582
90 0.0947859
95 0.0821531
100  0.0775325
105  0.0791941
110  0.0802827
115  0.0829418
120  0.0839819
125  0.0852641
130  0.0870275
135  0.0867778
140  0.0867778
145  0.0867778
150  0.089
155  0.0894864
160  0.0938657
165  0.0966002
170  0.0970485
175  0.100993
180  0.102274
185  0.105615
190  0.106841
195  0.109647
200  0.108453
205  0.117297
210  0.119133
215  0.129603
220  0.133398
