# mmed gq
# Private communication with Cristina Mantilla Suarez
50 0.118471
55 0.081049
60 0.0576288
65 0.0576755
70 0.0872776
75 0.0926203
80 0.126035
85 0.139997
90 0.113268
95 0.104391
100 0.113522
105 0.141794
110 0.125475
115 0.133951
120 0.129428
125 0.109702
130 0.104665
135 0.0916172
140 0.084836
145 0.0766484
150 0.0761084
155 0.085586
160 0.0853191
165 0.0912576
170 0.097013
175 0.0995768
180 0.10586
185 0.11618
190 0.120306
195 0.148377
200 0.152326
205 0.139858
210 0.119756
215 0.145325
220 0.150343
