# mmed gq
# Private communication with Cristina Mantilla Suarez
220 0.127896
225 0.129791
230 0.132398
235 0.135316
240 0.138878
245 0.142864
250 0.145573
255 0.147571
260 0.146242
265 0.145908
270 0.143546
275 0.14149
280 0.147571
285 0.148232
290 0.149544
295 0.148889
300 0.150844
305 0.148232
310 0.15149
315 0.154047
320 0.155937
325 0.157805
330 0.160261
335 0.163279
340 0.165654
345 0.169155
350 0.1787
355 0.174833
360 0.182485
365 0.188798
370 0.195406
375 0.200828
380 0.205871
385 0.210561
390 0.215149
395 0.214239
400 0.21875
405 0.216957
410 0.220085
415 0.226643
420 0.235103
425 0.239221
430 0.248825
435 0.265533
440 0.280206
445 0.308094
450 0.353346
