# mass xs xs_err
100 39366.69 66.4342505555
125 21078.77 35.8042873836
150 12391.99 24.1338575181
175 7781.998 13.2457359333
200 5149.382 9.22802267686
225 3559.063 6.40995110616
250 2542.87 4.33987808609
275 1866.11 2.87779921347
300 1403.216 2.36487349972
325 1074.8775 1.92050149526
350 848.948 1.42893570113
375 679.6133 1.06943234019
400 546.9365 0.896517163803
425 443.0484 0.835359140096
450 362.3585 0.591489082903
475 299.8296 0.521804058149
500 249.4931 0.432545267083
525 209.04849 0.381100734799
550 176.25306 0.289050377721
575 150.21153 0.264920730285
600 127.94173 0.214711441488
625 109.87321 0.193166945332
650 94.85321 0.170846907908
675 82.21937 0.151419631578
700 71.53175 0.131690025813
725 62.51525 0.119672320842
750 54.81024 0.106429881528
775 48.27074 0.0940270619509
800 42.57332 0.0847663533493
825 37.6779 0.0772964215101
850 33.46563 0.0745144270479
875 29.81197 0.0677563693628
900 26.612861 0.0612747583234
925 23.794494 0.053090922969
950 21.352001 0.047310487493
975 19.183147 0.0434383291223
1000 17.270004 0.0392517210907
1025 15.575601 0.0356514991225
1050 14.077063 0.0328904194056
1075 12.752144 0.0315339943085
1100 11.570419 0.0282459580589
1125 10.516077 0.0283211165416
1150 9.57002 0.0262460504025
1175 8.707604 0.0230367172622
1200 7.947929 0.0214159412516
1225 7.258424 0.0188028328495
1250 6.631632 0.0148136345269
1275 6.075663 0.0135079841361
1300 5.571769 0.0126942546733
1325 5.127917 0.0108674974028
1350 4.716638 0.0108558946516
1375 4.338739 0.0106931351722
1400 3.99851 0.009895808434
1425 3.6855137 0.00929489531369
1450 3.4014452 0.00849764490363
1475 3.1408559 0.00802318084993
1500 2.9021745 0.00808637889777
2000 0.6995869 0.0019017043035
2500 0.20665496 0.000634907982403
3000 0.070355472 0.000150303321919
3500 0.026169132 7.41481642827e-05
4000 0.010625089 3.38337963317e-05
4500 0.0047176744 1.73105233233e-05
5000 0.0023331281 7.93168260349e-06
6000 0.0007790475 7.40499995393e-06
6500 0.0005106086 2.35515315303e-06
7000 0.00035899444 3.72969577079e-06
